#,Name,seq,HIP101958
1,Ashwini,1.1,HIP8832
2,Ashwini,1.2,HIP8903
3,Bharani,2.1,HIP12719
4,Bharani,2.2,HIP13061
5,Bharani,2.3,HIP13209
6,Kruttika,3.1,HIP17499
7,Kruttika,3.2,HIP17531
8,Kruttika,3.3,HIP17573
9,Kruttika,3.4,HIP17579
10,Kruttika,3.5,HIP17608
11,Kruttika,3.6,HIP17702
12,Kruttika,3.7,HIP17847
13,Kruttika,3.8,HIP17851
14,Rohini,4,HIP21421
15,Mrugshirsha,5.1,HIP26176
16,Mrugshirsha,5.2,HIP26207
17,Mrugshirsha,5.3,HIP26366
18,Adra,6,HIP27989
19,Punarvasu,7.1,HIP36850
20,Punarvasu,7.2,HIP37826
21,Pushya,8.1,HIP41822
22,Pushya,8.2,HIP42806
23,Pushya,8.3,HIP42911
24,Ashlesha,9.1,HIP42313
25,Ashlesha,9.2,HIP42402
26,Ashlesha,9.3,HIP42799
27,Ashlesha,9.4,HIP43109
28,Ashlesha,9.5,HIP43234
29,Magha,10,HIP49669
30,PurvFalguna,11.1,HIP54872
31,PurvFalguna,11.2,HIP54879
32,UttarFalguna,12.1,HIP57632
33,Hasta,13.1,HIP59199
34,Hasta,13.2,HIP59316
35,Hasta,13.3,HIP59803
36,Hasta,13.4,HIP60965
37,Hasta,13.5,HIP61359
38,Chitra,14,HIP65474
39,Swati,15,HIP69673
40,Vishakha,16.1,HIP72622
41,Vishakha,16.2,HIP74392
42,Vishakha,16.3,HIP74785
43,Vishakha,16.4,HIP76333
44,Anuradha,17.1,HIP78265
45,Anuradha,17.2,HIP78401
46,Anuradha,17.3,HIP78820
47,Jeshtha,18.1,HIP80112
48,Jeshtha,18.2,HIP80763
49,Jeshtha,18.3,HIP81266
50,Mula,19.1,HIP82396
51,Mula,19.2,HIP82545
52,Mula,19.3,HIP82729
53,Mula,19.4,HIP84143
54,Mula,19.5,HIP85696
55,Mula,19.6,HIP85927
56,Mula,19.7,HIP86228
57,Mula,19.8,HIP86670
58,Mula,19.9,HIP87073
59,Purvashadha,20.1,HIP89931
60,Purvashadha,20.2,HIP90185
61,Uttarashadha,21.1,HIP92855
62,Uttarashadha,21.2,HIP93506
63,Shravan,22.1,HIP97278
64,Shravan,22.2,HIP97649
65,Shravan,22.3,HIP98036
66,Dhanishtha,23.1,HIP101958 
67,Dhanishtha,23.2,HIP102281
68,Shatataraka,24,HIP110395
69,PurvBhadrapada,25.1,HIP113881
70,PurvBhadrapada,25.2,HIP113963
71,UttarBhadrapada,26.1,HIP677
72,UttarBhadrapada,26.2,HIP1067
73,Revati,27,HIP5737
