#,Name,HIP
0,nak,0
1,Ashwini ,8832
2,Bharani ,12719
3,Kruttika ,17499
4,Rohini ,21421
5,Mrugshirsha ,26176
6,Adra ,27989
7,Punarvasu ,36850
8,Pushya ,41822
9,Ashlesha ,42313
10,Magha,49669
11,PurvFalguna ,54872
12,UttarFalguna ,57632
13,Hasta ,59199
14,Chitra ,65474
15,Swati ,69673
16,Vishakha ,72622
17,Anuradha,78265
18,Jeshtha,80112
19,Mula ,82396
20,Purvashadha ,89931
21,Uttarashadha ,92855
22,Shravan ,98036
23,Dhanishtha ,101958
24,Shatataraka ,110395
25,PurvBhadrapada ,113881
26,UttarBhadrapada ,677
27,Revati ,5737
