tt,recId,year,month,day,angle
626590,310,-2997,7,7,5
626591,310,-2997,7,8,3
626592,310,-2997,7,9,1
626593,310,-2997,7,10,1
626594,310,-2997,7,11,3
626595,310,-2997,7,12,5
626947,310,-2996,6,28,4
626948,310,-2996,6,29,2
626949,310,-2996,6,30,1
626950,310,-2996,7,1,1
626951,310,-2996,7,2,3
626952,310,-2996,7,3,5
627304,310,-2995,6,20,4
627305,310,-2995,6,21,3
627306,310,-2995,6,22,1
627307,310,-2995,6,23,1
627308,310,-2995,6,24,2
627309,310,-2995,6,25,4
627310,310,-2995,6,26,5
627662,310,-2994,6,13,4
627663,310,-2994,6,14,3
627664,310,-2994,6,15,1
627665,310,-2994,6,16,0
627666,310,-2994,6,17,1
627667,310,-2994,6,18,3
627668,310,-2994,6,19,4
627669,310,-2994,6,20,5
628021,310,-2993,6,7,5
628022,310,-2993,6,8,4
628023,310,-2993,6,9,3
628024,310,-2993,6,10,2
628025,310,-2993,6,11,1
628026,310,-2993,6,12,0
628027,310,-2993,6,13,0
628028,310,-2993,6,14,1
628029,310,-2993,6,15,2
628030,310,-2993,6,16,3
628031,310,-2993,6,17,4
628032,310,-2993,6,18,5
628033,310,-2993,6,19,5
628051,310,-2993,7,7,5
628052,310,-2993,7,8,5
628053,310,-2993,7,9,4
628054,310,-2993,7,10,4
628055,310,-2993,7,11,4
628056,310,-2993,7,12,4
628057,310,-2993,7,13,4
628058,310,-2993,7,14,4
628059,310,-2993,7,15,5
628060,310,-2993,7,16,5
628061,310,-2993,7,17,5
628062,310,-2993,7,18,5
628063,310,-2993,7,19,5
628064,310,-2993,7,20,5
628065,310,-2993,7,21,5
628066,310,-2993,7,22,5
628067,310,-2993,7,23,4
628068,310,-2993,7,24,4
628069,310,-2993,7,25,3
628070,310,-2993,7,26,2
628071,310,-2993,7,27,1
628072,310,-2993,7,28,0
628073,310,-2993,7,29,0
628074,310,-2993,7,30,1
628075,310,-2993,7,31,3
628076,310,-2993,8,1,4
628429,310,-2992,7,19,4
628430,310,-2992,7,20,3
628431,310,-2992,7,21,1
628432,310,-2992,7,22,1
628433,310,-2992,7,23,2
628434,310,-2992,7,24,4
628786,310,-2991,7,11,5
628787,310,-2991,7,12,3
628788,310,-2991,7,13,2
628789,310,-2991,7,14,1
628790,310,-2991,7,15,2
628791,310,-2991,7,16,4
629143,310,-2990,7,3,5
629144,310,-2990,7,4,3
629145,310,-2990,7,5,2
629146,310,-2990,7,6,1
629147,310,-2990,7,7,3
629148,310,-2990,7,8,4
629500,310,-2989,6,25,5
629501,310,-2989,6,26,3
629502,310,-2989,6,27,2
629503,310,-2989,6,28,1
629504,310,-2989,6,29,2
629505,310,-2989,6,30,4
629506,310,-2989,7,1,5
629857,310,-2988,6,16,5
629858,310,-2988,6,17,4
629859,310,-2988,6,18,2
629860,310,-2988,6,19,1
629861,310,-2988,6,20,1
629862,310,-2988,6,21,2
629863,310,-2988,6,22,4
629864,310,-2988,6,23,5
630216,310,-2987,6,10,4
630217,310,-2987,6,11,3
630218,310,-2987,6,12,2
630219,310,-2987,6,13,0
630220,310,-2987,6,14,0
630221,310,-2987,6,15,2
630222,310,-2987,6,16,3
630223,310,-2987,6,17,4
630224,310,-2987,6,18,5
630262,310,-2987,7,26,5
630263,310,-2987,7,27,5
630264,310,-2987,7,28,4
630265,310,-2987,7,29,4
630266,310,-2987,7,30,4
630267,310,-2987,7,31,4
630268,310,-2987,8,1,4
630269,310,-2987,8,2,5
630270,310,-2987,8,3,5
630577,310,-2986,6,6,5
630578,310,-2986,6,7,5
630579,310,-2986,6,8,4
630580,310,-2986,6,9,3
630581,310,-2986,6,10,2
630582,310,-2986,6,11,2
630583,310,-2986,6,12,2
630584,310,-2986,6,13,1
630585,310,-2986,6,14,1
630586,310,-2986,6,15,2
630587,310,-2986,6,16,2
630588,310,-2986,6,17,2
630589,310,-2986,6,18,2
630590,310,-2986,6,19,3
630591,310,-2986,6,20,3
630592,310,-2986,6,21,3
630593,310,-2986,6,22,3
630594,310,-2986,6,23,3
630595,310,-2986,6,24,3
630596,310,-2986,6,25,4
630597,310,-2986,6,26,4
630598,310,-2986,6,27,4
630599,310,-2986,6,28,5
630600,310,-2986,6,29,5
630624,310,-2986,7,23,4
630625,310,-2986,7,24,3
630626,310,-2986,7,25,2
630627,310,-2986,7,26,0
630628,310,-2986,7,27,1
630629,310,-2986,7,28,2
630630,310,-2986,7,29,4
630983,310,-2985,7,17,4
630984,310,-2985,7,18,2
630985,310,-2985,7,19,1
630986,310,-2985,7,20,2
630987,310,-2985,7,21,3
630988,310,-2985,7,22,5
631340,310,-2984,7,8,4
631341,310,-2984,7,9,2
631342,310,-2984,7,10,1
631343,310,-2984,7,11,2
631344,310,-2984,7,12,4
631345,310,-2984,7,13,5
631696,310,-2983,6,29,5
631697,310,-2983,6,30,3
631698,310,-2983,7,1,2
631699,310,-2983,7,2,1
631700,310,-2983,7,3,2
631701,310,-2983,7,4,4
631702,310,-2983,7,5,5
632053,310,-2982,6,21,5
632054,310,-2982,6,22,4
632055,310,-2982,6,23,2
632056,310,-2982,6,24,1
632057,310,-2982,6,25,2
632058,310,-2982,6,26,3
632059,310,-2982,6,27,4
632411,310,-2981,6,14,5
632412,310,-2981,6,15,3
632413,310,-2981,6,16,2
632414,310,-2981,6,17,1
632415,310,-2981,6,18,1
632416,310,-2981,6,19,2
632417,310,-2981,6,20,4
632418,310,-2981,6,21,5
632770,310,-2980,6,7,5
632771,310,-2980,6,8,4
632772,310,-2980,6,9,3
632773,310,-2980,6,10,1
632774,310,-2980,6,11,0
632775,310,-2980,6,12,0
632776,310,-2980,6,13,1
632777,310,-2980,6,14,2
632778,310,-2980,6,15,3
632779,310,-2980,6,16,4
632780,310,-2980,6,17,5
632805,310,-2980,7,12,5
632806,310,-2980,7,13,4
632807,310,-2980,7,14,4
