tt,recId,year,month,day,angle
1720712,210,-1,1,21,1
1720739,210,-1,2,17,3
1720794,210,-1,4,13,3
1720821,210,-1,5,10,1
1720848,210,-1,6,6,4
1720876,210,-1,7,4,4
1720903,210,-1,7,31,1
1720930,210,-1,8,27,5
1720958,210,-1,9,24,5
1720985,210,-1,10,21,2
1721012,210,-1,11,17,2
1721067,210,0,1,11,2
1721122,210,0,3,6,3
1721149,210,0,4,2,3
1721176,210,0,4,29,5
1721231,210,0,6,23,3
1721286,210,0,8,17,4
1721313,210,0,9,13,3
1721340,210,0,10,10,5
1721395,210,0,12,4,3
1721450,210,1,1,28,4
1721532,210,1,4,20,4
1721559,210,1,5,17,4
1721614,210,1,7,11,5
1721641,210,1,8,7,5
1721696,210,1,10,1,4
1721723,210,1,10,28,5
1721778,210,1,12,22,5
1721860,210,2,3,14,5
1721942,210,2,6,4,5
1722024,210,2,8,25,5
1722106,210,2,11,15,5
1722188,210,3,2,5,5
1722434,210,3,10,9,5
1722516,210,3,12,30,5
1722707,210,4,7,8,5
1722789,210,4,9,28,5
1722871,210,4,12,19,5
1722953,210,5,3,11,5
1723035,210,5,6,1,5
1723062,210,5,6,28,5
1723144,210,5,9,18,5
1723171,210,5,10,15,5
1723226,210,5,12,9,4
1723253,210,6,1,5,4
1723308,210,6,3,1,5
1723335,210,6,3,28,4
1723390,210,6,5,22,5
1723417,210,6,6,18,4
1723444,210,6,7,15,4
1723499,210,6,9,8,5
1723526,210,6,10,5,3
1723553,210,6,11,1,5
1723581,210,6,11,29,5
1723608,210,6,12,26,3
1723663,210,7,2,19,4
1723690,210,7,3,18,3
1723717,210,7,4,14,4
1723772,210,7,6,8,3
1723799,210,7,7,5,3
1723854,210,7,8,29,3
1723881,210,7,9,25,2
1723908,210,7,10,22,3
1723936,210,7,11,19,5
1723963,210,7,12,16,1
1724018,210,8,2,9,2
1724045,210,8,3,7,2
1724072,210,8,4,3,5
1724100,210,8,5,1,5
1724127,210,8,5,28,1
1724154,210,8,6,24,4
1724182,210,8,7,22,4
1724209,210,8,8,18,0
1724236,210,8,9,14,3
1724291,210,8,11,8,2
1724318,210,8,12,5,2
1724346,210,9,1,2,5
