tt,recId,year,month,day,angle
1724921,610,10,7,31,5
1724922,610,10,8,1,5
1724923,610,10,8,2,5
1724924,610,10,8,3,5
1724925,610,10,8,4,5
1724926,610,10,8,5,4
1724927,610,10,8,6,4
1724928,610,10,8,7,4
1724929,610,10,8,8,4
1724930,610,10,8,9,3
1724931,610,10,8,10,3
1724932,610,10,8,11,3
1724933,610,10,8,12,3
1724934,610,10,8,13,3
1724935,610,10,8,14,2
1724936,610,10,8,15,2
1724937,610,10,8,16,2
1724938,610,10,8,17,2
1724939,610,10,8,18,2
1724940,610,10,8,19,1
1724941,610,10,8,20,1
1724942,610,10,8,21,1
1724943,610,10,8,22,1
1724944,610,10,8,23,1
1724945,610,10,8,24,0
1724946,610,10,8,25,0
1724947,610,10,8,26,0
1724948,610,10,8,27,0
1724949,610,10,8,28,0
1724950,610,10,8,29,0
1724951,610,10,8,30,0
1724952,610,10,8,31,0
1724953,610,10,9,1,0
1724954,610,10,9,2,1
1724955,610,10,9,3,1
1724956,610,10,9,4,1
1724957,610,10,9,5,1
1724958,610,10,9,6,1
1724959,610,10,9,7,2
1724960,610,10,9,8,2
1724961,610,10,9,9,2
1724962,610,10,9,10,2
1724963,610,10,9,11,2
1724964,610,10,9,12,3
1724965,610,10,9,13,3
1724966,610,10,9,14,3
1724967,610,10,9,15,3
1724968,610,10,9,16,3
1724969,610,10,9,17,3
1724970,610,10,9,18,4
1724971,610,10,9,19,4
1724972,610,10,9,20,4
1724973,610,10,9,21,4
1724974,610,10,9,22,4
1724975,610,10,9,23,4
1724976,610,10,9,24,5
1724977,610,10,9,25,5
1724978,610,10,9,26,5
1724979,610,10,9,27,5
1724980,610,10,9,28,5
1725113,610,11,2,8,5
1725114,610,11,2,9,5
1725115,610,11,2,10,5
1725116,610,11,2,11,5
1725117,610,11,2,12,5
1725118,610,11,2,13,5
1725119,610,11,2,14,5
1725120,610,11,2,15,5
1725121,610,11,2,16,4
1725122,610,11,2,17,4
1725123,610,11,2,18,4
1725124,610,11,2,19,4
1725125,610,11,2,20,4
1725126,610,11,2,21,4
1725127,610,11,2,22,4
1725128,610,11,2,23,4
1725129,610,11,2,24,4
1725130,610,11,2,25,3
1725131,610,11,2,26,3
1725132,610,11,2,27,3
1725133,610,11,2,28,3
1725134,610,11,3,1,3
1725135,610,11,3,2,3
1725136,610,11,3,3,3
1725137,610,11,3,4,3
1725138,610,11,3,5,3
1725139,610,11,3,6,3
1725140,610,11,3,7,3
1725141,610,11,3,8,2
1725142,610,11,3,9,2
1725143,610,11,3,10,2
1725144,610,11,3,11,2
1725145,610,11,3,12,2
1725146,610,11,3,13,2
1725147,610,11,3,14,2
1725148,610,11,3,15,2
1725149,610,11,3,16,2
1725150,610,11,3,17,2
1725151,610,11,3,18,2
1725152,610,11,3,19,2
1725153,610,11,3,20,2
1725154,610,11,3,21,2
1725155,610,11,3,22,2
1725156,610,11,3,23,2
1725157,610,11,3,24,2
1725158,610,11,3,25,2
1725159,610,11,3,26,2
1725160,610,11,3,27,2
1725161,610,11,3,28,2
1725162,610,11,3,29,2
1725163,610,11,3,30,2
1725164,610,11,3,31,2
1725165,610,11,4,1,2
1725166,610,11,4,2,2
1725167,610,11,4,3,2
1725168,610,11,4,4,2
1725169,610,11,4,5,2
1725170,610,11,4,6,2
1725171,610,11,4,7,2
1725172,610,11,4,8,2
1725173,610,11,4,9,2
1725174,610,11,4,10,2
1725175,610,11,4,11,2
1725176,610,11,4,12,2
1725177,610,11,4,13,2
1725178,610,11,4,14,2
1725179,610,11,4,15,2
1725180,610,11,4,16,2
1725181,610,11,4,17,2
1725182,610,11,4,18,2
1725183,610,11,4,19,2
1725184,610,11,4,20,2
1725185,610,11,4,21,2
1725186,610,11,4,22,2
1725187,610,11,4,23,2
1725188,610,11,4,24,2
1725189,610,11,4,25,2
1725190,610,11,4,26,2
1725191,610,11,4,27,2
1725192,610,11,4,28,2
1725193,610,11,4,29,2
1725194,610,11,4,30,3
1725195,610,11,5,1,3
1725196,610,11,5,2,3
1725197,610,11,5,3,3
1725198,610,11,5,4,3
1725199,610,11,5,5,3
1725200,610,11,5,6,3
1725201,610,11,5,7,3
1725202,610,11,5,8,3
1725203,610,11,5,9,3
1725204,610,11,5,10,3
1725205,610,11,5,11,4
1725206,610,11,5,12,4
1725207,610,11,5,13,4
1725208,610,11,5,14,4
1725209,610,11,5,15,4
1725210,610,11,5,16,4
1725211,610,11,5,17,4
1725212,610,11,5,18,4
1725213,610,11,5,19,4
1725214,610,11,5,20,5
1725215,610,11,5,21,5
1725216,610,11,5,22,5
1725217,610,11,5,23,5
1725218,610,11,5,24,5
1725219,610,11,5,25,5
1725220,610,11,5,26,5
1725221,610,11,5,27,5
1729289,610,22,7,16,5
1729290,610,22,7,17,5
1729291,610,22,7,18,5
1729292,610,22,7,19,5
1729293,610,22,7,20,5
1729294,610,22,7,21,4
1729295,610,22,7,22,4
1729296,610,22,7,23,4
1729297,610,22,7,24,4
1729298,610,22,7,25,3
1729299,610,22,7,26,3
1729300,610,22,7,27,3
1729301,610,22,7,28,3
1729302,610,22,7,29,3
1729303,610,22,7,30,2
1729304,610,22,7,31,2
1729305,610,22,8,1,2
1729306,610,22,8,2,2
1729307,610,22,8,3,2
1729308,610,22,8,4,1
1729309,610,22,8,5,1
1729310,610,22,8,6,1
1729311,610,22,8,7,1
1729312,610,22,8,8,0
1729313,610,22,8,9,0
1729314,610,22,8,10,0
1729315,610,22,8,11,0
1729316,610,22,8,12,0
1729317,610,22,8,13,0
1729318,610,22,8,14,0
1729319,610,22,8,15,0
1729320,610,22,8,16,0
1729321,610,22,8,17,1
1729322,610,22,8,18,1
1729323,610,22,8,19,1
1729324,610,22,8,20,1
1729325,610,22,8,21,1
1729326,610,22,8,22,2
1729327,610,22,8,23,2
1729328,610,22,8,24,2
1729329,610,22,8,25,2
1729330,610,22,8,26,2
1729331,610,22,8,27,3
1729332,610,22,8,28,3
1729333,610,22,8,29,3
1729334,610,22,8,30,3
1729335,610,22,8,31,3
1729336,610,22,9,1,4
1729337,610,22,9,2,4
1729338,610,22,9,3,4
1729339,610,22,9,4,4
1729340,610,22,9,5,4
1729341,610,22,9,6,5
1729342,610,22,9,7,5
1729343,610,22,9,8,5
1729344,610,22,9,9,5
1729345,610,22,9,10,5
1733657,610,34,7,1,5
1733658,610,34,7,2,5
1733659,610,34,7,3,5
1733660,610,34,7,4,5
1733661,610,34,7,5,4
1733662,610,34,7,6,4
1733663,610,34,7,7,4
1733664,610,34,7,8,4
1733665,610,34,7,9,4
1733666,610,34,7,10,3
1733667,610,34,7,11,3
1733668,610,34,7,12,3
1733669,610,34,7,13,3
1733670,610,34,7,14,3
1733671,610,34,7,15,2
1733672,610,34,7,16,2
1733673,610,34,7,17,2
1733674,610,34,7,18,2
1733675,610,34,7,19,1
1733676,610,34,7,20,1
1733677,610,34,7,21,1
1733678,610,34,7,22,1
1733679,610,34,7,23,1
1733680,610,34,7,24,0
1733681,610,34,7,25,0
1733682,610,34,7,26,0
1733683,610,34,7,27,0
1733684,610,34,7,28,0
1733685,610,34,7,29,0
1733686,610,34,7,30,0
1733687,610,34,7,31,0
1733688,610,34,8,1,0
