tt,recId,year,month,day,angle
625995,517,-2999,11,19,5
625996,517,-2999,11,20,5
625997,517,-2999,11,21,5
625998,517,-2999,11,22,5
626703,517,-2997,10,28,5
626704,517,-2997,10,29,5
626705,517,-2997,10,30,5
626706,517,-2997,10,31,5
626707,517,-2997,11,1,5
626708,517,-2997,11,2,5
626709,517,-2997,11,3,5
627413,517,-2995,10,7,5
627414,517,-2995,10,8,5
627415,517,-2995,10,9,5
627416,517,-2995,10,10,5
627417,517,-2995,10,11,5
627418,517,-2995,10,12,5
627419,517,-2995,10,13,5
627420,517,-2995,10,14,5
628123,517,-2993,9,17,5
628124,517,-2993,9,18,5
628125,517,-2993,9,19,5
628126,517,-2993,9,20,5
628127,517,-2993,9,21,4
628128,517,-2993,9,22,4
628129,517,-2993,9,23,5
628130,517,-2993,9,24,5
628131,517,-2993,9,25,5
628132,517,-2993,9,26,5
628833,517,-2991,8,27,5
628834,517,-2991,8,28,5
628835,517,-2991,8,29,4
628836,517,-2991,8,30,4
628837,517,-2991,8,31,4
628838,517,-2991,9,1,4
628839,517,-2991,9,2,4
628840,517,-2991,9,3,5
628841,517,-2991,9,4,5
628842,517,-2991,9,5,5
629539,517,-2989,8,3,5
629540,517,-2989,8,4,5
629541,517,-2989,8,5,5
629542,517,-2989,8,6,4
629543,517,-2989,8,7,4
629544,517,-2989,8,8,4
629545,517,-2989,8,9,4
629546,517,-2989,8,10,4
629547,517,-2989,8,11,4
629548,517,-2989,8,12,4
629549,517,-2989,8,13,5
629550,517,-2989,8,14,5
630233,517,-2987,6,27,5
630234,517,-2987,6,28,5
630235,517,-2987,6,29,4
630236,517,-2987,6,30,4
630237,517,-2987,7,1,4
630238,517,-2987,7,2,3
630239,517,-2987,7,3,3
630240,517,-2987,7,4,3
630241,517,-2987,7,5,3
630242,517,-2987,7,6,3
630243,517,-2987,7,7,3
630244,517,-2987,7,8,3
630245,517,-2987,7,9,3
630246,517,-2987,7,10,4
630247,517,-2987,7,11,4
630248,517,-2987,7,12,5
630249,517,-2987,7,13,5
631483,517,-2984,11,28,5
631484,517,-2984,11,29,5
632190,517,-2982,11,5,5
632191,517,-2982,11,6,5
632192,517,-2982,11,7,5
632193,517,-2982,11,8,5
632194,517,-2982,11,9,5
632195,517,-2982,11,10,5
632900,517,-2980,10,15,5
632901,517,-2980,10,16,5
632902,517,-2980,10,17,5
632903,517,-2980,10,18,5
632904,517,-2980,10,19,5
632905,517,-2980,10,20,5
632906,517,-2980,10,21,5
632907,517,-2980,10,22,5
633610,517,-2978,9,25,5
633611,517,-2978,9,26,5
633612,517,-2978,9,27,5
633613,517,-2978,9,28,5
633614,517,-2978,9,29,5
633615,517,-2978,9,30,5
633616,517,-2978,10,1,5
633617,517,-2978,10,2,5
633618,517,-2978,10,3,5
634320,517,-2976,9,4,5
634321,517,-2976,9,5,5
634322,517,-2976,9,6,5
634323,517,-2976,9,7,4
634324,517,-2976,9,8,4
634325,517,-2976,9,9,4
634326,517,-2976,9,10,4
634327,517,-2976,9,11,5
634328,517,-2976,9,12,5
634329,517,-2976,9,13,5
635028,517,-2974,8,13,5
635029,517,-2974,8,14,5
635030,517,-2974,8,15,4
635031,517,-2974,8,16,4
635032,517,-2974,8,17,4
635033,517,-2974,8,18,4
635034,517,-2974,8,19,4
635035,517,-2974,8,20,4
635036,517,-2974,8,21,4
635037,517,-2974,8,22,5
635038,517,-2974,8,23,5
635730,517,-2972,7,15,5
635731,517,-2972,7,16,5
635732,517,-2972,7,17,4
635733,517,-2972,7,18,4
635734,517,-2972,7,19,4
635735,517,-2972,7,20,3
635736,517,-2972,7,21,3
635737,517,-2972,7,22,3
635738,517,-2972,7,23,3
635739,517,-2972,7,24,4
635740,517,-2972,7,25,4
635741,517,-2972,7,26,4
635742,517,-2972,7,27,5
635743,517,-2972,7,28,5
637678,517,-2967,11,14,5
637679,517,-2967,11,15,5
637680,517,-2967,11,16,5
637681,517,-2967,11,17,5
637682,517,-2967,11,18,5
638387,517,-2965,10,24,5
638388,517,-2965,10,25,5
638389,517,-2965,10,26,5
638390,517,-2965,10,27,5
638391,517,-2965,10,28,5
638392,517,-2965,10,29,5
638393,517,-2965,10,30,5
639097,517,-2963,10,3,5
639098,517,-2963,10,4,5
639099,517,-2963,10,5,5
639100,517,-2963,10,6,5
639101,517,-2963,10,7,5
639102,517,-2963,10,8,5
639103,517,-2963,10,9,5
639104,517,-2963,10,10,5
639807,517,-2961,9,13,5
639808,517,-2961,9,14,5
639809,517,-2961,9,15,5
639810,517,-2961,9,16,4
639811,517,-2961,9,17,4
639812,517,-2961,9,18,4
639813,517,-2961,9,19,5
639814,517,-2961,9,20,5
639815,517,-2961,9,21,5
639816,517,-2961,9,22,5
640516,517,-2959,8,22,5
640517,517,-2959,8,23,5
640518,517,-2959,8,24,5
640519,517,-2959,8,25,4
640520,517,-2959,8,26,4
640521,517,-2959,8,27,4
640522,517,-2959,8,28,4
640523,517,-2959,8,29,4
640524,517,-2959,8,30,5
640525,517,-2959,8,31,5
640526,517,-2959,9,1,5
641221,517,-2957,7,28,5
641222,517,-2957,7,29,5
641223,517,-2957,7,30,5
641224,517,-2957,7,31,4
641225,517,-2957,8,1,4
641226,517,-2957,8,2,4
641227,517,-2957,8,3,4
641228,517,-2957,8,4,4
641229,517,-2957,8,5,4
641230,517,-2957,8,6,4
641231,517,-2957,8,7,4
641232,517,-2957,8,8,5
641233,517,-2957,8,9,5
641899,517,-2955,6,5,5
641900,517,-2955,6,6,5
641901,517,-2955,6,7,5
641902,517,-2955,6,8,5
641903,517,-2955,6,9,5
641904,517,-2955,6,10,4
641905,517,-2955,6,11,4
641906,517,-2955,6,12,4
641907,517,-2955,6,13,4
641908,517,-2955,6,14,3
641909,517,-2955,6,15,3
641910,517,-2955,6,16,3
641911,517,-2955,6,17,3
641912,517,-2955,6,18,3
641913,517,-2955,6,19,3
641914,517,-2955,6,20,3
641915,517,-2955,6,21,3
641916,517,-2955,6,22,3
641917,517,-2955,6,23,3
641918,517,-2955,6,24,3
641919,517,-2955,6,25,3
641920,517,-2955,6,26,3
641921,517,-2955,6,27,4
641922,517,-2955,6,28,4
641923,517,-2955,6,29,4
641924,517,-2955,6,30,5
641925,517,-2955,7,1,5
643166,517,-2952,11,23,5
643167,517,-2952,11,24,5
643168,517,-2952,11,25,5
643874,517,-2950,11,1,5
643875,517,-2950,11,2,5
643876,517,-2950,11,3,5
643877,517,-2950,11,4,5
643878,517,-2950,11,5,5
643879,517,-2950,11,6,5
644584,517,-2948,10,11,5
644585,517,-2948,10,12,5
644586,517,-2948,10,13,5
644587,517,-2948,10,14,5
644588,517,-2948,10,15,5
644589,517,-2948,10,16,5
644590,517,-2948,10,17,5
644591,517,-2948,10,18,5
645294,517,-2946,9,21,5
645295,517,-2946,9,22,5
645296,517,-2946,9,23,5
645297,517,-2946,9,24,5
645298,517,-2946,9,25,4
645299,517,-2946,9,26,5
645300,517,-2946,9,27,5
645301,517,-2946,9,28,5
645302,517,-2946,9,29,5
646004,517,-2944,8,31,5
646005,517,-2944,9,1,5
646006,517,-2944,9,2,4
646007,517,-2944,9,3,4
646008,517,-2944,9,4,4
646009,517,-2944,9,5,4
646010,517,-2944,9,6,4
646011,517,-2944,9,7,5
646012,517,-2944,9,8,5
