tt,recId,year,month,day,angle
626707,518,-2997,11,1,5
626708,518,-2997,11,2,5
626709,518,-2997,11,3,4
626710,518,-2997,11,4,4
626711,518,-2997,11,5,4
626712,518,-2997,11,6,3
626713,518,-2997,11,7,3
626714,518,-2997,11,8,4
626715,518,-2997,11,9,4
626716,518,-2997,11,10,4
626717,518,-2997,11,11,5
626718,518,-2997,11,12,5
627417,518,-2995,10,11,5
627418,518,-2995,10,12,5
627419,518,-2995,10,13,4
627420,518,-2995,10,14,4
627421,518,-2995,10,15,4
627422,518,-2995,10,16,3
627423,518,-2995,10,17,3
627424,518,-2995,10,18,3
627425,518,-2995,10,19,3
627426,518,-2995,10,20,4
627427,518,-2995,10,21,4
627428,518,-2995,10,22,5
627429,518,-2995,10,23,5
628128,518,-2993,9,22,5
628129,518,-2993,9,23,5
628130,518,-2993,9,24,4
628131,518,-2993,9,25,4
628132,518,-2993,9,26,3
628133,518,-2993,9,27,3
628134,518,-2993,9,28,3
628135,518,-2993,9,29,3
628136,518,-2993,9,30,3
628137,518,-2993,10,1,4
628138,518,-2993,10,2,4
628139,518,-2993,10,3,5
628140,518,-2993,10,4,5
628838,518,-2991,9,1,5
628839,518,-2991,9,2,4
628840,518,-2991,9,3,4
628841,518,-2991,9,4,3
628842,518,-2991,9,5,3
628843,518,-2991,9,6,3
628844,518,-2991,9,7,3
628845,518,-2991,9,8,3
628846,518,-2991,9,9,3
628847,518,-2991,9,10,3
628848,518,-2991,9,11,4
628849,518,-2991,9,12,4
628850,518,-2991,9,13,5
629545,518,-2989,8,9,5
629546,518,-2989,8,10,4
629547,518,-2989,8,11,4
629548,518,-2989,8,12,3
629549,518,-2989,8,13,3
629550,518,-2989,8,14,2
629551,518,-2989,8,15,2
629552,518,-2989,8,16,2
629553,518,-2989,8,17,2
629554,518,-2989,8,18,3
629555,518,-2989,8,19,3
629556,518,-2989,8,20,4
629557,518,-2989,8,21,4
629558,518,-2989,8,22,5
630240,518,-2987,7,4,5
