tt,recId,year,month,day,angle
1720889,510,-1,7,17,5
1720890,510,-1,7,18,5
1720891,510,-1,7,19,4
1720892,510,-1,7,20,3
1720893,510,-1,7,21,3
1720894,510,-1,7,22,2
1720895,510,-1,7,23,2
1720896,510,-1,7,24,1
1720897,510,-1,7,25,0
1720898,510,-1,7,26,0
1720899,510,-1,7,27,1
1720900,510,-1,7,28,1
1720901,510,-1,7,29,2
1720902,510,-1,7,30,2
1720903,510,-1,7,31,3
1720904,510,-1,8,1,3
1720905,510,-1,8,2,4
1720906,510,-1,8,3,5
1720907,510,-1,8,4,5
1721601,510,1,6,28,5
1721602,510,1,6,29,4
1721603,510,1,6,30,4
1721604,510,1,7,1,3
1721605,510,1,7,2,3
1721606,510,1,7,3,2
1721607,510,1,7,4,1
1721608,510,1,7,5,1
1721609,510,1,7,6,0
1721610,510,1,7,7,0
1721611,510,1,7,8,1
1721612,510,1,7,9,1
1721613,510,1,7,10,2
1721614,510,1,7,11,2
1721615,510,1,7,12,3
1721616,510,1,7,13,4
1721617,510,1,7,14,4
1721618,510,1,7,15,5
1721619,510,1,7,16,5
1722311,510,3,6,8,5
1722312,510,3,6,9,5
1722313,510,3,6,10,4
1722314,510,3,6,11,4
1722315,510,3,6,12,3
1722316,510,3,6,13,2
1722317,510,3,6,14,2
1722318,510,3,6,15,1
1722319,510,3,6,16,1
1722320,510,3,6,17,0
1722321,510,3,6,18,0
1722322,510,3,6,19,1
1722323,510,3,6,20,1
1722324,510,3,6,21,2
1722325,510,3,6,22,2
1722326,510,3,6,23,3
1722327,510,3,6,24,4
1722328,510,3,6,25,4
1722329,510,3,6,26,5
1722330,510,3,6,27,5
1723019,510,5,5,16,5
1723020,510,5,5,17,5
1723021,510,5,5,18,4
1723022,510,5,5,19,4
1723023,510,5,5,20,3
1723024,510,5,5,21,3
1723025,510,5,5,22,2
1723026,510,5,5,23,2
1723027,510,5,5,24,1
1723028,510,5,5,25,1
1723029,510,5,5,26,1
1723030,510,5,5,27,1
1723031,510,5,5,28,1
1723032,510,5,5,29,1
1723033,510,5,5,30,2
1723034,510,5,5,31,3
1723035,510,5,6,1,3
1723036,510,5,6,2,4
1723037,510,5,6,3,4
1723038,510,5,6,4,5
1723039,510,5,6,5,5
1723545,510,6,10,24,5
1723546,510,6,10,25,5
1723547,510,6,10,26,5
1723548,510,6,10,27,4
1723549,510,6,10,28,4
1723550,510,6,10,29,3
1723551,510,6,10,30,3
1723552,510,6,10,31,3
1723553,510,6,11,1,2
1723554,510,6,11,2,2
1723555,510,6,11,3,2
1723556,510,6,11,4,2
1723557,510,6,11,5,1
1723558,510,6,11,6,1
1723559,510,6,11,7,1
1723560,510,6,11,8,1
1723561,510,6,11,9,1
1723562,510,6,11,10,1
1723563,510,6,11,11,2
1723564,510,6,11,12,2
1723565,510,6,11,13,2
1723566,510,6,11,14,2
1723567,510,6,11,15,2
1723568,510,6,11,16,3
1723569,510,6,11,17,3
1723570,510,6,11,18,3
1723571,510,6,11,19,3
1723572,510,6,11,20,3
1723573,510,6,11,21,4
1723574,510,6,11,22,4
1723575,510,6,11,23,4
1723576,510,6,11,24,4
1723577,510,6,11,25,4
1723578,510,6,11,26,5
1723579,510,6,11,27,5
1723580,510,6,11,28,5
1723581,510,6,11,29,5
1723582,510,6,11,30,5
1723583,510,6,12,1,5
1723607,510,6,12,25,5
1723608,510,6,12,26,5
1723609,510,6,12,27,5
1723610,510,6,12,28,5
1723611,510,6,12,29,5
1723612,510,6,12,30,5
1723613,510,6,12,31,5
1723614,510,7,1,1,5
1723615,510,7,1,2,4
1723616,510,7,1,3,4
1723617,510,7,1,4,4
1723618,510,7,1,5,4
1723619,510,7,1,6,4
1723620,510,7,1,7,4
1723621,510,7,1,8,4
1723622,510,7,1,9,4
1723623,510,7,1,10,4
1723624,510,7,1,11,4
1723625,510,7,1,12,4
1723626,510,7,1,13,4
1723627,510,7,1,14,4
1723628,510,7,1,15,4
1723629,510,7,1,16,4
1723630,510,7,1,17,4
1723631,510,7,1,18,4
