tt,recId,year,month,day,angle
625956,118,-2999,10,11,5
625957,118,-2999,10,12,5
625958,118,-2999,10,13,4
625959,118,-2999,10,14,3
625960,118,-2999,10,15,3
625961,118,-2999,10,16,3
625962,118,-2999,10,17,3
625963,118,-2999,10,18,4
625964,118,-2999,10,19,4
625965,118,-2999,10,20,5
626322,118,-2998,10,12,5
626323,118,-2998,10,13,4
626324,118,-2998,10,14,4
626325,118,-2998,10,15,3
626326,118,-2998,10,16,3
626327,118,-2998,10,17,3
626328,118,-2998,10,18,3
626329,118,-2998,10,19,4
626330,118,-2998,10,20,5
626687,118,-2997,10,12,5
626688,118,-2997,10,13,4
626689,118,-2997,10,14,4
626690,118,-2997,10,15,3
626691,118,-2997,10,16,3
626692,118,-2997,10,17,3
626693,118,-2997,10,18,3
626694,118,-2997,10,19,4
626695,118,-2997,10,20,5
626696,118,-2997,10,21,5
627052,118,-2996,10,11,5
627053,118,-2996,10,12,5
627054,118,-2996,10,13,4
627055,118,-2996,10,14,3
627056,118,-2996,10,15,3
627057,118,-2996,10,16,3
627058,118,-2996,10,17,3
627059,118,-2996,10,18,4
627060,118,-2996,10,19,4
627061,118,-2996,10,20,5
627417,118,-2995,10,11,5
627418,118,-2995,10,12,5
627419,118,-2995,10,13,4
627420,118,-2995,10,14,3
627421,118,-2995,10,15,3
627422,118,-2995,10,16,3
627423,118,-2995,10,17,3
627424,118,-2995,10,18,4
627425,118,-2995,10,19,4
627426,118,-2995,10,20,5
627783,118,-2994,10,12,5
627784,118,-2994,10,13,4
627785,118,-2994,10,14,4
627786,118,-2994,10,15,3
627787,118,-2994,10,16,3
627788,118,-2994,10,17,3
627789,118,-2994,10,18,3
627790,118,-2994,10,19,4
627791,118,-2994,10,20,5
628148,118,-2993,10,12,5
628149,118,-2993,10,13,4
628150,118,-2993,10,14,4
628151,118,-2993,10,15,3
628152,118,-2993,10,16,3
628153,118,-2993,10,17,3
628154,118,-2993,10,18,3
628155,118,-2993,10,19,4
628156,118,-2993,10,20,5
628157,118,-2993,10,21,5
628513,118,-2992,10,11,5
628514,118,-2992,10,12,5
628515,118,-2992,10,13,4
628516,118,-2992,10,14,3
628517,118,-2992,10,15,3
628518,118,-2992,10,16,3
628519,118,-2992,10,17,3
628520,118,-2992,10,18,4
628521,118,-2992,10,19,4
628522,118,-2992,10,20,5
628879,118,-2991,10,12,5
628880,118,-2991,10,13,4
628881,118,-2991,10,14,3
628882,118,-2991,10,15,3
628883,118,-2991,10,16,3
628884,118,-2991,10,17,3
628885,118,-2991,10,18,4
628886,118,-2991,10,19,4
628887,118,-2991,10,20,5
629244,118,-2990,10,12,5
629245,118,-2990,10,13,4
629246,118,-2990,10,14,4
629247,118,-2990,10,15,3
629248,118,-2990,10,16,3
629249,118,-2990,10,17,3
629250,118,-2990,10,18,3
629251,118,-2990,10,19,4
629252,118,-2990,10,20,5
629609,118,-2989,10,12,5
629610,118,-2989,10,13,4
629611,118,-2989,10,14,4
629612,118,-2989,10,15,3
629613,118,-2989,10,16,3
629614,118,-2989,10,17,3
629615,118,-2989,10,18,3
629616,118,-2989,10,19,4
629617,118,-2989,10,20,5
629618,118,-2989,10,21,5
629974,118,-2988,10,11,5
629975,118,-2988,10,12,5
629976,118,-2988,10,13,4
629977,118,-2988,10,14,3
629978,118,-2988,10,15,3
629979,118,-2988,10,16,3
629980,118,-2988,10,17,3
629981,118,-2988,10,18,4
629982,118,-2988,10,19,4
629983,118,-2988,10,20,5
630340,118,-2987,10,12,5
630341,118,-2987,10,13,4
630342,118,-2987,10,14,3
630343,118,-2987,10,15,3
630344,118,-2987,10,16,3
630345,118,-2987,10,17,3
630346,118,-2987,10,18,4
630347,118,-2987,10,19,4
630348,118,-2987,10,20,5
630705,118,-2986,10,12,5
630706,118,-2986,10,13,4
630707,118,-2986,10,14,4
630708,118,-2986,10,15,3
630709,118,-2986,10,16,3
630710,118,-2986,10,17,3
630711,118,-2986,10,18,3
630712,118,-2986,10,19,4
630713,118,-2986,10,20,5
631070,118,-2985,10,12,5
631071,118,-2985,10,13,4
631072,118,-2985,10,14,4
631073,118,-2985,10,15,3
631074,118,-2985,10,16,3
631075,118,-2985,10,17,3
631076,118,-2985,10,18,3
631077,118,-2985,10,19,4
631078,118,-2985,10,20,5
631079,118,-2985,10,21,5
631435,118,-2984,10,11,5
631436,118,-2984,10,12,5
631437,118,-2984,10,13,4
631438,118,-2984,10,14,3
631439,118,-2984,10,15,3
631440,118,-2984,10,16,3
631441,118,-2984,10,17,3
631442,118,-2984,10,18,4
631443,118,-2984,10,19,4
631444,118,-2984,10,20,5
631801,118,-2983,10,12,5
631802,118,-2983,10,13,4
631803,118,-2983,10,14,3
631804,118,-2983,10,15,3
631805,118,-2983,10,16,3
631806,118,-2983,10,17,3
631807,118,-2983,10,18,4
631808,118,-2983,10,19,4
631809,118,-2983,10,20,5
632166,118,-2982,10,12,5
632167,118,-2982,10,13,4
632168,118,-2982,10,14,4
