tt,recId,year,month,day,angle
625857,110,-2999,7,4,5
625858,110,-2999,7,5,4
625859,110,-2999,7,6,3
625860,110,-2999,7,7,2
625861,110,-2999,7,8,1
625862,110,-2999,7,9,0
625863,110,-2999,7,10,0
625864,110,-2999,7,11,1
625865,110,-2999,7,12,2
625866,110,-2999,7,13,2
625867,110,-2999,7,14,3
625868,110,-2999,7,15,4
625869,110,-2999,7,16,5
626222,110,-2998,7,4,5
626223,110,-2998,7,5,5
626224,110,-2998,7,6,4
626225,110,-2998,7,7,3
626226,110,-2998,7,8,2
626227,110,-2998,7,9,1
626228,110,-2998,7,10,0
626229,110,-2998,7,11,0
626230,110,-2998,7,12,1
626231,110,-2998,7,13,2
626232,110,-2998,7,14,3
626233,110,-2998,7,15,4
626234,110,-2998,7,16,5
626588,110,-2997,7,5,5
626589,110,-2997,7,6,4
626590,110,-2997,7,7,3
626591,110,-2997,7,8,2
626592,110,-2997,7,9,1
626593,110,-2997,7,10,0
626594,110,-2997,7,11,0
626595,110,-2997,7,12,1
626596,110,-2997,7,13,2
626597,110,-2997,7,14,3
626598,110,-2997,7,15,4
626599,110,-2997,7,16,5
626953,110,-2996,7,4,5
626954,110,-2996,7,5,4
626955,110,-2996,7,6,3
626956,110,-2996,7,7,2
626957,110,-2996,7,8,1
626958,110,-2996,7,9,0
626959,110,-2996,7,10,0
626960,110,-2996,7,11,1
626961,110,-2996,7,12,2
626962,110,-2996,7,13,3
626963,110,-2996,7,14,4
626964,110,-2996,7,15,5
627318,110,-2995,7,4,5
627319,110,-2995,7,5,4
627320,110,-2995,7,6,3
627321,110,-2995,7,7,2
627322,110,-2995,7,8,1
627323,110,-2995,7,9,0
627324,110,-2995,7,10,0
627325,110,-2995,7,11,1
627326,110,-2995,7,12,2
627327,110,-2995,7,13,2
627328,110,-2995,7,14,3
627329,110,-2995,7,15,4
627330,110,-2995,7,16,5
627684,110,-2994,7,5,5
627685,110,-2994,7,6,4
627686,110,-2994,7,7,3
627687,110,-2994,7,8,2
627688,110,-2994,7,9,1
627689,110,-2994,7,10,0
627690,110,-2994,7,11,0
627691,110,-2994,7,12,1
627692,110,-2994,7,13,2
627693,110,-2994,7,14,3
627694,110,-2994,7,15,4
627695,110,-2994,7,16,5
628049,110,-2993,7,5,5
628050,110,-2993,7,6,4
628051,110,-2993,7,7,3
628052,110,-2993,7,8,2
628053,110,-2993,7,9,1
628054,110,-2993,7,10,0
628055,110,-2993,7,11,0
628056,110,-2993,7,12,1
628057,110,-2993,7,13,2
628058,110,-2993,7,14,3
628059,110,-2993,7,15,4
628060,110,-2993,7,16,5
628414,110,-2992,7,4,5
628415,110,-2992,7,5,4
628416,110,-2992,7,6,3
628417,110,-2992,7,7,2
628418,110,-2992,7,8,1
628419,110,-2992,7,9,0
628420,110,-2992,7,10,0
628421,110,-2992,7,11,1
628422,110,-2992,7,12,2
628423,110,-2992,7,13,3
628424,110,-2992,7,14,4
628425,110,-2992,7,15,5
628779,110,-2991,7,4,5
628780,110,-2991,7,5,4
628781,110,-2991,7,6,3
628782,110,-2991,7,7,2
628783,110,-2991,7,8,1
628784,110,-2991,7,9,0
628785,110,-2991,7,10,0
628786,110,-2991,7,11,1
628787,110,-2991,7,12,1
628788,110,-2991,7,13,2
628789,110,-2991,7,14,3
628790,110,-2991,7,15,4
628791,110,-2991,7,16,5
629145,110,-2990,7,5,5
629146,110,-2990,7,6,4
629147,110,-2990,7,7,3
629148,110,-2990,7,8,2
629149,110,-2990,7,9,1
629150,110,-2990,7,10,0
629151,110,-2990,7,11,0
629152,110,-2990,7,12,1
629153,110,-2990,7,13,2
629154,110,-2990,7,14,3
629155,110,-2990,7,15,4
629156,110,-2990,7,16,5
629510,110,-2989,7,5,5
629511,110,-2989,7,6,4
629512,110,-2989,7,7,3
629513,110,-2989,7,8,2
629514,110,-2989,7,9,1
629515,110,-2989,7,10,0
629516,110,-2989,7,11,0
629517,110,-2989,7,12,1
629518,110,-2989,7,13,2
629519,110,-2989,7,14,3
629520,110,-2989,7,15,4
629521,110,-2989,7,16,5
629875,110,-2988,7,4,5
629876,110,-2988,7,5,4
