tt,recId,year,month,day,angle
626590,110,-2997,7,7,3
626591,110,-2997,7,8,2
626592,110,-2997,7,9,1
626593,110,-2997,7,10,0
626594,110,-2997,7,11,0
626595,110,-2997,7,12,1
628051,110,-2993,7,7,3
628052,110,-2993,7,8,2
628053,110,-2993,7,9,1
628054,110,-2993,7,10,0
628055,110,-2993,7,11,0
628056,110,-2993,7,12,1
628057,110,-2993,7,13,2
628058,110,-2993,7,14,3
628059,110,-2993,7,15,4
628060,110,-2993,7,16,5
628786,110,-2991,7,11,1
628787,110,-2991,7,12,1
628788,110,-2991,7,13,2
628789,110,-2991,7,14,3
628790,110,-2991,7,15,4
628791,110,-2991,7,16,5
629145,110,-2990,7,5,5
629146,110,-2990,7,6,4
629147,110,-2990,7,7,3
629148,110,-2990,7,8,2
631340,110,-2984,7,8,1
631341,110,-2984,7,9,0
631342,110,-2984,7,10,0
631343,110,-2984,7,11,1
631344,110,-2984,7,12,2
631345,110,-2984,7,13,3
631701,110,-2983,7,4,5
631702,110,-2983,7,5,4
632805,110,-2980,7,12,2
632806,110,-2980,7,13,3
632807,110,-2980,7,14,4
632808,110,-2980,7,15,5
633536,110,-2978,7,13,2
633537,110,-2978,7,14,3
633538,110,-2978,7,15,4
633539,110,-2978,7,16,5
633893,110,-2977,7,5,5
633894,110,-2977,7,6,4
633895,110,-2977,7,7,3
633896,110,-2977,7,8,2
633897,110,-2977,7,9,1
633898,110,-2977,7,10,0
635354,110,-2973,7,5,5
636089,110,-2971,7,9,1
636090,110,-2971,7,10,0
636091,110,-2971,7,11,0
636092,110,-2971,7,12,1
636093,110,-2971,7,13,2
636094,110,-2971,7,14,3
636450,110,-2970,7,5,5
636451,110,-2970,7,6,4
638285,110,-2965,7,14,3
638286,110,-2965,7,15,4
638287,110,-2965,7,16,5
638642,110,-2964,7,5,4
638643,110,-2964,7,6,3
638644,110,-2964,7,7,2
638645,110,-2964,7,8,1
638646,110,-2964,7,9,0
638647,110,-2964,7,10,0
640102,110,-2960,7,4,5
640103,110,-2960,7,5,4
640104,110,-2960,7,6,3
640105,110,-2960,7,7,2
640106,110,-2960,7,8,1
640107,110,-2960,7,9,0
640108,110,-2960,7,10,0
640839,110,-2958,7,11,0
640840,110,-2958,7,12,1
640841,110,-2958,7,13,2
640842,110,-2958,7,14,3
640843,110,-2958,7,15,4
640844,110,-2958,7,16,5
641198,110,-2957,7,5,5
641199,110,-2957,7,6,4
641200,110,-2957,7,7,3
641201,110,-2957,7,8,2
643035,110,-2952,7,15,4
643036,110,-2952,7,16,5
643392,110,-2951,7,7,3
643393,110,-2951,7,8,2
643394,110,-2951,7,9,1
643395,110,-2951,7,10,0
643396,110,-2951,7,11,0
643397,110,-2951,7,12,1
644854,110,-2947,7,8,2
644855,110,-2947,7,9,1
644856,110,-2947,7,10,0
644857,110,-2947,7,11,0
644858,110,-2947,7,12,1
644859,110,-2947,7,13,2
644860,110,-2947,7,14,3
644861,110,-2947,7,15,4
644862,110,-2947,7,16,5
645588,110,-2945,7,12,1
645589,110,-2945,7,13,2
645590,110,-2945,7,14,3
645591,110,-2945,7,15,4
645592,110,-2945,7,16,5
645946,110,-2944,7,4,5
645947,110,-2944,7,5,4
645948,110,-2944,7,6,3
645949,110,-2944,7,7,2
645950,110,-2944,7,8,1
648142,110,-2938,7,9,1
648143,110,-2938,7,10,0
648144,110,-2938,7,11,0
648145,110,-2938,7,12,1
648146,110,-2938,7,13,2
648147,110,-2938,7,14,3
648503,110,-2937,7,5,5
648504,110,-2937,7,6,4
649607,110,-2934,7,13,2
649608,110,-2934,7,14,3
649609,110,-2934,7,15,4
649610,110,-2934,7,16,5
650338,110,-2932,7,13,2
650339,110,-2932,7,14,3
650340,110,-2932,7,15,4
650341,110,-2932,7,16,5
650695,110,-2931,7,5,5
650696,110,-2931,7,6,4
650697,110,-2931,7,7,3
650698,110,-2931,7,8,2
650699,110,-2931,7,9,1
650700,110,-2931,7,10,0
652156,110,-2927,7,5,5
652157,110,-2927,7,6,4
652891,110,-2925,7,10,0
652892,110,-2925,7,11,0
652893,110,-2925,7,12,1
652894,110,-2925,7,13,2
652895,110,-2925,7,14,3
652896,110,-2925,7,15,4
653251,110,-2924,7,4,5
653252,110,-2924,7,5,4
653253,110,-2924,7,6,4
655087,110,-2919,7,14,3
655088,110,-2919,7,15,4
655089,110,-2919,7,16,5
655444,110,-2918,7,6,4
655445,110,-2918,7,7,3
655446,110,-2918,7,8,2
655447,110,-2918,7,9,1
655448,110,-2918,7,10,0
655449,110,-2918,7,11,0
656904,110,-2914,7,5,5
656905,110,-2914,7,6,4
656906,110,-2914,7,7,3
656907,110,-2914,7,8,2
656908,110,-2914,7,9,1
656909,110,-2914,7,10,0
656910,110,-2914,7,11,0
656911,110,-2914,7,12,1
657641,110,-2912,7,11,0
657642,110,-2912,7,12,1
657643,110,-2912,7,13,2
657644,110,-2912,7,14,3
657645,110,-2912,7,15,4
657646,110,-2912,7,16,5
658000,110,-2911,7,5,5
658001,110,-2911,7,6,4
658002,110,-2911,7,7,3
658003,110,-2911,7,8,2
659837,110,-2906,7,16,5
660194,110,-2905,7,8,2
660195,110,-2905,7,9,1
660196,110,-2905,7,10,0
660197,110,-2905,7,11,0
660198,110,-2905,7,12,0
660199,110,-2905,7,13,1
661657,110,-2901,7,10,1
661658,110,-2901,7,11,0
661659,110,-2901,7,12,0
661660,110,-2901,7,13,1
661661,110,-2901,7,14,2
661662,110,-2901,7,15,3
661663,110,-2901,7,16,4
661664,110,-2901,7,17,5
662390,110,-2899,7,12,1
662391,110,-2899,7,13,2
662392,110,-2899,7,14,3
662393,110,-2899,7,15,4
662394,110,-2899,7,16,5
662748,110,-2898,7,5,5
662749,110,-2898,7,6,4
662750,110,-2898,7,7,3
662751,110,-2898,7,8,2
662752,110,-2898,7,9,1
664944,110,-2892,7,9,1
664945,110,-2892,7,10,0
664946,110,-2892,7,11,0
664947,110,-2892,7,12,1
664948,110,-2892,7,13,2
664949,110,-2892,7,14,3
665305,110,-2891,7,5,5
665306,110,-2891,7,6,4
666410,110,-2888,7,14,3
666411,110,-2888,7,15,4
666412,110,-2888,7,16,5
667140,110,-2886,7,14,3
