tt,recId,year,month,day,angle
638642,110,-2964,7,5,4
638643,110,-2964,7,6,3
638644,110,-2964,7,7,2
638645,110,-2964,7,8,1
638646,110,-2964,7,9,0
638647,110,-2964,7,10,0
645592,110,-2945,7,16,5
653251,110,-2924,7,4,5
653252,110,-2924,7,5,4
653253,110,-2924,7,6,4
671889,110,-2873,7,15,3
671890,110,-2873,7,16,4
671891,110,-2873,7,17,5
686495,110,-2833,7,11,0
686496,110,-2833,7,12,0
686497,110,-2833,7,13,1
686498,110,-2833,7,14,2
686499,110,-2833,7,15,3
686500,110,-2833,7,16,4
695262,110,-2809,7,12,0
695263,110,-2809,7,13,1
695264,110,-2809,7,14,2
695265,110,-2809,7,15,3
695266,110,-2809,7,16,4
695267,110,-2809,7,17,5
701101,110,-2793,7,7,4
701102,110,-2793,7,8,3
701103,110,-2793,7,9,2
701104,110,-2793,7,10,1
701105,110,-2793,7,11,0
701106,110,-2793,7,12,0
712796,110,-2761,7,14,2
715710,110,-2753,7,6,5
715711,110,-2753,7,7,4
715712,110,-2753,7,8,3
727402,110,-2721,7,10,2
727403,110,-2721,7,11,1
727404,110,-2721,7,12,0
734349,110,-2702,7,17,4
734350,110,-2702,7,18,5
736165,110,-2697,7,7,5
736166,110,-2697,7,8,4
736167,110,-2697,7,9,3
736168,110,-2697,7,10,2
742009,110,-2681,7,7,5
742010,110,-2681,7,8,4
742011,110,-2681,7,9,3
748957,110,-2662,7,15,2
748958,110,-2662,7,16,3
748959,110,-2662,7,17,4
757721,110,-2638,7,13,0
757722,110,-2638,7,14,1
757723,110,-2638,7,15,2
757724,110,-2638,7,16,3
757725,110,-2638,7,17,4
757726,110,-2638,7,18,5
763564,110,-2622,7,12,0
775255,110,-2590,7,15,2
775256,110,-2590,7,16,3
775257,110,-2590,7,17,4
775258,110,-2590,7,18,5
789860,110,-2550,7,10,2
789861,110,-2550,7,11,1
789862,110,-2550,7,12,0
789863,110,-2550,7,13,0
789864,110,-2550,7,14,1
789865,110,-2550,7,15,1
798623,110,-2526,7,7,5
798624,110,-2526,7,8,4
798625,110,-2526,7,9,3
798626,110,-2526,7,10,3
798627,110,-2526,7,11,2
804468,110,-2510,7,8,5
804469,110,-2510,7,9,4
804470,110,-2510,7,10,3
804471,110,-2510,7,11,2
820184,110,-2467,7,18,4
820185,110,-2467,7,19,5
823107,110,-2459,7,19,5
830767,110,-2438,7,9,4
830768,110,-2438,7,10,3
837714,110,-2419,7,16,2
837715,110,-2419,7,17,3
837716,110,-2419,7,18,4
837717,110,-2419,7,19,5
845376,110,-2398,7,8,5
852321,110,-2379,7,13,0
852322,110,-2379,7,14,0
852323,110,-2379,7,15,1
852324,110,-2379,7,16,2
864014,110,-2347,7,18,3
864015,110,-2347,7,19,4
864016,110,-2347,7,20,5
866929,110,-2339,7,11,2
878620,110,-2307,7,14,0
878621,110,-2307,7,15,0
878622,110,-2307,7,16,1
878623,110,-2307,7,17,2
878624,110,-2307,7,18,3
887387,110,-2283,7,15,0
887388,110,-2283,7,16,1
893226,110,-2267,7,10,4
893227,110,-2267,7,11,3
893228,110,-2267,7,12,2
893229,110,-2267,7,13,1
893230,110,-2267,7,14,0
893231,110,-2267,7,15,0
907835,110,-2227,7,9,5
907836,110,-2227,7,10,4
926473,110,-2176,7,19,4
926474,110,-2176,7,20,5
928289,110,-2171,7,9,5
928290,110,-2171,7,10,4
934133,110,-2155,7,9,5
941078,110,-2136,7,14,1
941079,110,-2136,7,15,0
941080,110,-2136,7,16,0
941081,110,-2136,7,17,1
941082,110,-2136,7,18,2
941083,110,-2136,7,19,3
949844,110,-2112,7,14,1
