tt,recId,year,month,day,angle
633528,110,-2978,7,5,5
633529,110,-2978,7,6,4
633530,110,-2978,7,7,3
633531,110,-2978,7,8,2
633532,110,-2978,7,9,1
633533,110,-2978,7,10,0
633534,110,-2978,7,11,0
633535,110,-2978,7,12,1
633536,110,-2978,7,13,2
633537,110,-2978,7,14,3
633538,110,-2978,7,15,4
633539,110,-2978,7,16,5
644485,110,-2948,7,4,5
644486,110,-2948,7,5,4
644487,110,-2948,7,6,3
644488,110,-2948,7,7,2
644489,110,-2948,7,8,1
644490,110,-2948,7,9,0
644491,110,-2948,7,10,0
644492,110,-2948,7,11,1
644493,110,-2948,7,12,1
644494,110,-2948,7,13,2
644495,110,-2948,7,14,3
644496,110,-2948,7,15,4
644497,110,-2948,7,16,5
655078,110,-2919,7,5,5
655079,110,-2919,7,6,4
655080,110,-2919,7,7,3
655081,110,-2919,7,8,2
655082,110,-2919,7,9,1
655083,110,-2919,7,10,0
655084,110,-2919,7,11,0
655085,110,-2919,7,12,1
655086,110,-2919,7,13,2
655087,110,-2919,7,14,3
655088,110,-2919,7,15,4
655089,110,-2919,7,16,5
666035,110,-2889,7,5,5
666036,110,-2889,7,6,4
666037,110,-2889,7,7,3
666038,110,-2889,7,8,3
666039,110,-2889,7,9,2
666040,110,-2889,7,10,1
666041,110,-2889,7,11,0
666042,110,-2889,7,12,0
666043,110,-2889,7,13,1
666044,110,-2889,7,14,2
666045,110,-2889,7,15,3
666046,110,-2889,7,16,4
666047,110,-2889,7,17,5
676628,110,-2860,7,5,5
676629,110,-2860,7,6,4
676630,110,-2860,7,7,3
676631,110,-2860,7,8,2
676632,110,-2860,7,9,1
676633,110,-2860,7,10,0
676634,110,-2860,7,11,0
676635,110,-2860,7,12,1
676636,110,-2860,7,13,2
676637,110,-2860,7,14,3
676638,110,-2860,7,15,4
676639,110,-2860,7,16,5
687586,110,-2830,7,6,5
687587,110,-2830,7,7,4
687588,110,-2830,7,8,3
698178,110,-2801,7,6,5
698179,110,-2801,7,7,4
698180,110,-2801,7,8,3
698181,110,-2801,7,9,2
698182,110,-2801,7,10,1
698183,110,-2801,7,11,0
698184,110,-2801,7,12,0
698185,110,-2801,7,13,1
698186,110,-2801,7,14,2
698187,110,-2801,7,15,3
698188,110,-2801,7,16,4
698189,110,-2801,7,17,5
719728,110,-2742,7,6,5
719729,110,-2742,7,7,4
719730,110,-2742,7,8,3
719731,110,-2742,7,9,2
719732,110,-2742,7,10,1
719733,110,-2742,7,11,0
719734,110,-2742,7,12,0
719735,110,-2742,7,13,1
719736,110,-2742,7,14,2
719737,110,-2742,7,15,3
719738,110,-2742,7,16,4
719739,110,-2742,7,17,5
741278,110,-2683,7,6,5
741279,110,-2683,7,7,4
741280,110,-2683,7,8,3
741281,110,-2683,7,9,2
741282,110,-2683,7,10,1
741283,110,-2683,7,11,0
741284,110,-2683,7,12,0
741285,110,-2683,7,13,1
741286,110,-2683,7,14,2
741287,110,-2683,7,15,3
741288,110,-2683,7,16,4
741289,110,-2683,7,17,4
741290,110,-2683,7,18,5
751871,110,-2654,7,7,5
751872,110,-2654,7,8,4
751873,110,-2654,7,9,3
751874,110,-2654,7,10,2
751875,110,-2654,7,11,1
751876,110,-2654,7,12,0
751877,110,-2654,7,13,0
751878,110,-2654,7,14,1
751879,110,-2654,7,15,2
751880,110,-2654,7,16,3
751881,110,-2654,7,17,4
751882,110,-2654,7,18,5
762828,110,-2624,7,6,5
762829,110,-2624,7,7,4
762830,110,-2624,7,8,3
762831,110,-2624,7,9,2
762832,110,-2624,7,10,1
762833,110,-2624,7,11,0
762834,110,-2624,7,12,0
762835,110,-2624,7,13,0
762836,110,-2624,7,14,1
762837,110,-2624,7,15,2
762838,110,-2624,7,16,3
762839,110,-2624,7,17,4
762840,110,-2624,7,18,5
773421,110,-2595,7,7,5
773422,110,-2595,7,8,4
773423,110,-2595,7,9,3
773424,110,-2595,7,10,2
773425,110,-2595,7,11,1
773426,110,-2595,7,12,0
773427,110,-2595,7,13,0
