tt,recId,year,month,day,angle
635747,710,-2972,8,1,5
635748,710,-2972,8,2,5
635749,710,-2972,8,3,5
635750,710,-2972,8,4,5
635751,710,-2972,8,5,5
635752,710,-2972,8,6,5
635753,710,-2972,8,7,5
635754,710,-2972,8,8,5
635755,710,-2972,8,9,4
635756,710,-2972,8,10,4
635757,710,-2972,8,11,4
635758,710,-2972,8,12,4
635759,710,-2972,8,13,4
635760,710,-2972,8,14,4
635761,710,-2972,8,15,4
635762,710,-2972,8,16,4
635763,710,-2972,8,17,4
635764,710,-2972,8,18,4
635765,710,-2972,8,19,3
635766,710,-2972,8,20,3
635767,710,-2972,8,21,3
635768,710,-2972,8,22,3
635769,710,-2972,8,23,3
635770,710,-2972,8,24,3
635771,710,-2972,8,25,3
635772,710,-2972,8,26,3
635773,710,-2972,8,27,3
635774,710,-2972,8,28,3
635775,710,-2972,8,29,2
635776,710,-2972,8,30,2
635777,710,-2972,8,31,2
635778,710,-2972,9,1,2
635779,710,-2972,9,2,2
635780,710,-2972,9,3,2
635781,710,-2972,9,4,2
635782,710,-2972,9,5,2
635783,710,-2972,9,6,2
635784,710,-2972,9,7,2
635785,710,-2972,9,8,2
635786,710,-2972,9,9,1
635787,710,-2972,9,10,1
635788,710,-2972,9,11,1
635789,710,-2972,9,12,1
635790,710,-2972,9,13,1
635791,710,-2972,9,14,1
635792,710,-2972,9,15,1
635793,710,-2972,9,16,1
635794,710,-2972,9,17,1
635795,710,-2972,9,18,1
635796,710,-2972,9,19,1
635797,710,-2972,9,20,1
635798,710,-2972,9,21,1
635799,710,-2972,9,22,1
635800,710,-2972,9,23,1
635801,710,-2972,9,24,0
635802,710,-2972,9,25,0
635803,710,-2972,9,26,0
635804,710,-2972,9,27,0
635805,710,-2972,9,28,0
635806,710,-2972,9,29,0
635807,710,-2972,9,30,0
635808,710,-2972,10,1,0
635809,710,-2972,10,2,0
635810,710,-2972,10,3,0
635811,710,-2972,10,4,0
635812,710,-2972,10,5,0
635813,710,-2972,10,6,0
635814,710,-2972,10,7,0
635815,710,-2972,10,8,0
635816,710,-2972,10,9,0
635817,710,-2972,10,10,0
635818,710,-2972,10,11,0
635819,710,-2972,10,12,0
635820,710,-2972,10,13,0
635821,710,-2972,10,14,0
635822,710,-2972,10,15,0
635823,710,-2972,10,16,0
