tt,recId,year,month,day,angle
633526,74,-2978,7,3,5
633527,74,-2978,7,4,5
633528,74,-2978,7,5,5
633529,74,-2978,7,6,5
633530,74,-2978,7,7,5
633531,74,-2978,7,8,5
633532,74,-2978,7,9,5
633533,74,-2978,7,10,5
633534,74,-2978,7,11,5
633535,74,-2978,7,12,5
633536,74,-2978,7,13,5
633537,74,-2978,7,14,5
633538,74,-2978,7,15,5
633539,74,-2978,7,16,5
633540,74,-2978,7,17,5
633541,74,-2978,7,18,5
633542,74,-2978,7,19,5
633543,74,-2978,7,20,5
633544,74,-2978,7,21,5
633545,74,-2978,7,22,5
633546,74,-2978,7,23,5
633547,74,-2978,7,24,5
633548,74,-2978,7,25,5
633549,74,-2978,7,26,5
633550,74,-2978,7,27,5
633551,74,-2978,7,28,5
633552,74,-2978,7,29,5
633553,74,-2978,7,30,5
633554,74,-2978,7,31,5
633555,74,-2978,8,1,5
633556,74,-2978,8,2,5
633557,74,-2978,8,3,5
633558,74,-2978,8,4,5
633559,74,-2978,8,5,5
633560,74,-2978,8,6,5
633561,74,-2978,8,7,5
633562,74,-2978,8,8,5
633563,74,-2978,8,9,5
633564,74,-2978,8,10,5
633565,74,-2978,8,11,5
633566,74,-2978,8,12,5
633567,74,-2978,8,13,5
633568,74,-2978,8,14,5
633569,74,-2978,8,15,5
633570,74,-2978,8,16,5
633571,74,-2978,8,17,5
633572,74,-2978,8,18,5
633573,74,-2978,8,19,5
633574,74,-2978,8,20,5
633575,74,-2978,8,21,5
633576,74,-2978,8,22,5
633577,74,-2978,8,23,5
633578,74,-2978,8,24,5
633579,74,-2978,8,25,5
633580,74,-2978,8,26,5
633581,74,-2978,8,27,5
633582,74,-2978,8,28,5
633583,74,-2978,8,29,5
633584,74,-2978,8,30,5
633585,74,-2978,8,31,5
633586,74,-2978,9,1,5
633587,74,-2978,9,2,5
633588,74,-2978,9,3,5
633589,74,-2978,9,4,5
633590,74,-2978,9,5,5
633591,74,-2978,9,6,5
633592,74,-2978,9,7,5
633593,74,-2978,9,8,5
633594,74,-2978,9,9,5
633779,74,-2977,3,13,5
633780,74,-2977,3,14,5
633781,74,-2977,3,15,5
633782,74,-2977,3,16,5
633783,74,-2977,3,17,5
633784,74,-2977,3,18,5
633785,74,-2977,3,19,5
633786,74,-2977,3,20,5
633787,74,-2977,3,21,5
633788,74,-2977,3,22,5
633789,74,-2977,3,23,5
633790,74,-2977,3,24,4
633791,74,-2977,3,25,4
633792,74,-2977,3,26,4
633793,74,-2977,3,27,4
633794,74,-2977,3,28,4
633795,74,-2977,3,29,4
633796,74,-2977,3,30,4
633797,74,-2977,3,31,4
633798,74,-2977,4,1,4
633799,74,-2977,4,2,4
633800,74,-2977,4,3,4
633801,74,-2977,4,4,4
633802,74,-2977,4,5,4
633803,74,-2977,4,6,3
633804,74,-2977,4,7,3
633805,74,-2977,4,8,3
633806,74,-2977,4,9,3
633807,74,-2977,4,10,3
633808,74,-2977,4,11,3
633809,74,-2977,4,12,3
633810,74,-2977,4,13,3
633811,74,-2977,4,14,3
633812,74,-2977,4,15,3
633813,74,-2977,4,16,3
633814,74,-2977,4,17,3
633815,74,-2977,4,18,3
633816,74,-2977,4,19,3
633817,74,-2977,4,20,3
633818,74,-2977,4,21,3
633819,74,-2977,4,22,3
633820,74,-2977,4,23,3
633821,74,-2977,4,24,3
633822,74,-2977,4,25,3
633823,74,-2977,4,26,3
633824,74,-2977,4,27,3
633825,74,-2977,4,28,3
633826,74,-2977,4,29,3
633827,74,-2977,4,30,3
633828,74,-2977,5,1,3
633829,74,-2977,5,2,3
633830,74,-2977,5,3,4
633831,74,-2977,5,4,4
633832,74,-2977,5,5,4
633833,74,-2977,5,6,4
633834,74,-2977,5,7,4
633835,74,-2977,5,8,4
633836,74,-2977,5,9,4
633837,74,-2977,5,10,4
633838,74,-2977,5,11,4
633839,74,-2977,5,12,4
633840,74,-2977,5,13,4
633841,74,-2977,5,14,4
633842,74,-2977,5,15,4
633843,74,-2977,5,16,4
633844,74,-2977,5,17,5
633845,74,-2977,5,18,5
633846,74,-2977,5,19,5
633847,74,-2977,5,20,5
633848,74,-2977,5,21,5
633849,74,-2977,5,22,5
633850,74,-2977,5,23,5
633851,74,-2977,5,24,5
633852,74,-2977,5,25,5
633853,74,-2977,5,26,5
633854,74,-2977,5,27,5
634031,74,-2977,11,20,5
634032,74,-2977,11,21,5
634033,74,-2977,11,22,5
634034,74,-2977,11,23,5
634035,74,-2977,11,24,5
634036,74,-2977,11,25,5
634037,74,-2977,11,26,5
634038,74,-2977,11,27,5
634039,74,-2977,11,28,5
634040,74,-2977,11,29,5
634041,74,-2977,11,30,5
634042,74,-2977,12,1,5
634043,74,-2977,12,2,5
634044,74,-2977,12,3,5
634045,74,-2977,12,4,5
634046,74,-2977,12,5,5
634047,74,-2977,12,6,5
634048,74,-2977,12,7,5
634049,74,-2977,12,8,5
634050,74,-2977,12,9,5
634051,74,-2977,12,10,5
634052,74,-2977,12,11,5
634053,74,-2977,12,12,5
634054,74,-2977,12,13,5
