tt,recId,year,month,day,angle
1721331,418,0,10,1,5
1721332,418,0,10,2,4
1721333,418,0,10,3,3
1721334,418,0,10,4,3
1721335,418,0,10,5,3
1721336,418,0,10,6,3
1721337,418,0,10,7,3
1721338,418,0,10,8,4
1721339,418,0,10,9,5
1721742,418,1,11,16,5
1721743,418,1,11,17,5
1721744,418,1,11,18,4
1721745,418,1,11,19,4
1721746,418,1,11,20,5
1721747,418,1,11,21,5
1722046,418,2,9,16,5
1722047,418,2,9,17,4
1722048,418,2,9,18,4
1722049,418,2,9,19,3
1722050,418,2,9,20,3
1722051,418,2,9,21,2
1722052,418,2,9,22,2
1722053,418,2,9,23,1
1722054,418,2,9,24,1
1722055,418,2,9,25,1
1722056,418,2,9,26,2
1722057,418,2,9,27,2
1722058,418,2,9,28,2
1722059,418,2,9,29,3
1722060,418,2,9,30,3
1722061,418,2,10,1,4
1722062,418,2,10,2,4
1722063,418,2,10,3,4
1722064,418,2,10,4,5
1722065,418,2,10,5,5
1722066,418,2,10,6,5
1722080,418,2,10,20,5
1722081,418,2,10,21,5
1722082,418,2,10,22,5
1722083,418,2,10,23,4
1722084,418,2,10,24,4
1722085,418,2,10,25,3
1722086,418,2,10,26,3
1722087,418,2,10,27,2
1722088,418,2,10,28,2
1722089,418,2,10,29,1
1722090,418,2,10,30,1
1722091,418,2,10,31,0
1722092,418,2,11,1,0
1722093,418,2,11,2,0
1722094,418,2,11,3,1
1722095,418,2,11,4,1
1722096,418,2,11,5,2
1722097,418,2,11,6,3
1722098,418,2,11,7,3
1722099,418,2,11,8,4
1722100,418,2,11,9,5
1722101,418,2,11,10,5
1722442,418,3,10,17,5
1722443,418,3,10,18,4
1722444,418,3,10,19,3
1722445,418,3,10,20,3
1722446,418,3,10,21,3
1722447,418,3,10,22,4
1722448,418,3,10,23,5
1722853,418,4,12,1,5
1722854,418,4,12,2,5
1722855,418,4,12,3,5
1722856,418,4,12,4,5
1723144,418,5,9,18,5
1723145,418,5,9,19,4
1723146,418,5,9,20,3
1723147,418,5,9,21,2
1723148,418,5,9,22,2
1723149,418,5,9,23,1
1723150,418,5,9,24,2
1723151,418,5,9,25,3
1723152,418,5,9,26,4
1723153,418,5,9,27,5
1723553,418,6,11,1,5
1723554,418,6,11,2,4
1723555,418,6,11,3,4
1723556,418,6,11,4,4
1723557,418,6,11,5,4
1723558,418,6,11,6,5
1724253,418,8,10,1,5
1724254,418,8,10,2,4
1724255,418,8,10,3,3
1724256,418,8,10,4,3
1724257,418,8,10,5,3
1724258,418,8,10,6,3
1724259,418,8,10,7,4
1724260,418,8,10,8,5
1724664,418,9,11,16,5
1724665,418,9,11,17,4
1724666,418,9,11,18,4
1724667,418,9,11,19,4
1724668,418,9,11,20,5
1724669,418,9,11,21,5
1724969,418,10,9,17,5
1724970,418,10,9,18,5
1724971,418,10,9,19,4
1724972,418,10,9,20,3
1724973,418,10,9,21,3
1724974,418,10,9,22,3
1724975,418,10,9,23,2
1724976,418,10,9,24,2
1724977,418,10,9,25,2
1724978,418,10,9,26,2
1724979,418,10,9,27,2
1724980,418,10,9,28,2
1724981,418,10,9,29,2
1724982,418,10,9,30,2
1724983,418,10,10,1,3
1724984,418,10,10,2,3
1724985,418,10,10,3,3
1724986,418,10,10,4,3
1724987,418,10,10,5,3
1724988,418,10,10,6,4
1724989,418,10,10,7,4
1724990,418,10,10,8,4
1724991,418,10,10,9,4
1724992,418,10,10,10,4
1724993,418,10,10,11,4
1724994,418,10,10,12,4
1724995,418,10,10,13,4
1724996,418,10,10,14,4
1724997,418,10,10,15,4
1724998,418,10,10,16,3
1724999,418,10,10,17,3
1725000,418,10,10,18,3
1725001,418,10,10,19,3
1725002,418,10,10,20,2
1725003,418,10,10,21,2
1725004,418,10,10,22,2
1725005,418,10,10,23,1
1725006,418,10,10,24,1
1725007,418,10,10,25,1
1725008,418,10,10,26,1
1725009,418,10,10,27,1
1725010,418,10,10,28,1
1725011,418,10,10,29,2
1725012,418,10,10,30,2
1725013,418,10,10,31,3
1725014,418,10,11,1,4
1725015,418,10,11,2,4
1725016,418,10,11,3,5
1725017,418,10,11,4,5
1725363,418,11,10,16,5
1725364,418,11,10,17,4
1725365,418,11,10,18,4
1725366,418,11,10,19,3
1725367,418,11,10,20,3
1725368,418,11,10,21,4
1725369,418,11,10,22,4
1725370,418,11,10,23,5
1725774,418,12,11,30,5
1725775,418,12,12,1,5
