tt,recId,year,month,day,angle
625841,410,-2999,6,18,5
625842,410,-2999,6,19,4
625843,410,-2999,6,20,3
625844,410,-2999,6,21,2
625845,410,-2999,6,22,1
625846,410,-2999,6,23,1
625847,410,-2999,6,24,2
625848,410,-2999,6,25,3
625849,410,-2999,6,26,4
625850,410,-2999,6,27,5
626251,410,-2998,8,2,5
626252,410,-2998,8,3,4
626253,410,-2998,8,4,3
626254,410,-2998,8,5,2
626255,410,-2998,8,6,0
626256,410,-2998,8,7,0
626257,410,-2998,8,8,1
626258,410,-2998,8,9,2
626259,410,-2998,8,10,3
626260,410,-2998,8,11,5
626545,410,-2997,5,23,5
626546,410,-2997,5,24,3
626547,410,-2997,5,25,3
626548,410,-2997,5,26,2
626549,410,-2997,5,27,1
626550,410,-2997,5,28,2
626551,410,-2997,5,29,2
626552,410,-2997,5,30,3
626553,410,-2997,5,31,4
626554,410,-2997,6,1,5
626952,410,-2996,7,3,5
626953,410,-2996,7,4,3
626954,410,-2996,7,5,2
626955,410,-2996,7,6,1
626956,410,-2996,7,7,0
626957,410,-2996,7,8,1
626958,410,-2996,7,9,2
626959,410,-2996,7,10,3
626960,410,-2996,7,11,4
627360,410,-2995,8,15,5
627361,410,-2995,8,16,4
627362,410,-2995,8,17,3
627363,410,-2995,8,18,2
627364,410,-2995,8,19,1
627365,410,-2995,8,20,0
627366,410,-2995,8,21,1
627367,410,-2995,8,22,2
627368,410,-2995,8,23,3
627369,410,-2995,8,24,5
627653,410,-2994,6,4,4
627654,410,-2994,6,5,3
627655,410,-2994,6,6,2
627656,410,-2994,6,7,1
627657,410,-2994,6,8,1
627658,410,-2994,6,9,2
627659,410,-2994,6,10,3
627660,410,-2994,6,11,4
627661,410,-2994,6,12,5
628063,410,-2993,7,19,4
628064,410,-2993,7,20,3
628065,410,-2993,7,21,2
628066,410,-2993,7,22,1
628067,410,-2993,7,23,0
628068,410,-2993,7,24,1
628069,410,-2993,7,25,2
628070,410,-2993,7,26,3
628071,410,-2993,7,27,5
628376,410,-2992,5,27,5
628377,410,-2992,5,28,5
628378,410,-2992,5,29,5
628379,410,-2992,5,30,4
628380,410,-2992,5,31,4
628381,410,-2992,6,1,4
628382,410,-2992,6,2,4
628383,410,-2992,6,3,4
628384,410,-2992,6,4,4
628385,410,-2992,6,5,3
628386,410,-2992,6,6,3
628387,410,-2992,6,7,3
